YR-026,50837cf472ff4b9fe268241ff6fc5391f56d8759,YarReader,3cd292c,2026-08-27,direct,v0.7.0,make exported HTML complete without JavaScript
YR-027,e6b085211801661551ba2dce36ffbaf80644e4c7,YarReader,3cd292c,2026-08-27,direct,v0.7.0,materialize portable directory exports
YR-028,8d72ef50c28f003384d2c3cba6110efc2e2f93f8,YarReader,3cd292c,2026-08-27,direct,v0.7.0,cover portable reader regression paths
YR-029,214658572dc4e69b66f85d4111e0d4319b720c1e,YarReader,3661f4e,2026-08-27,decomposed,v0.8.0,add workspace-owned series curation
YR-030,71d7d9406a25c218a69430602937e60e5cbe8f94,YarReader,3661f4e,2026-08-27,decomposed,v0.8.0,curated library navigation
YR-031,564c10216daa87a80454cab0cac801279026c356,YarReader,3661f4e,2026-08-27,decomposed,v0.8.0,offline multi-mode reader controls
YR-032,5f5b3ed06cfcc5e7e278a4f8f67c8e63cec557aa,YarReader,3661f4e,2026-08-27,privacy-transformed,v0.8.0,progressive viewer export integration
YR-033,923b51d71de784637a8a1ffacdc819d86404aa61,YarReader,3661f4e,2026-08-27,privacy-transformed,v0.8.0,viewer and static-fallback regression coverage
YR-034,d66364fec3ed871912ba4decd61f1dc22f96e755,YarReader,3661f4e,2026-08-27,decomposed,v1.0.0,public architecture and governance documentation
YR-035,ad55ae1f621c45043e41641590bfdc376e7453a4,YarReader,3661f4e,2026-08-27,decomposed,v1.0.0,CI release and public-history controls
YR-036,558f11726e8a87af31f6150f36122df4da4fa031,YarReader,3661f4e,2026-08-27,decomposed,v1.0.0,source audit baseline and release records
YR-037,b46868c9205c218fe9622ee25ce2d8c485dfc620,YarReader,3661f4e,2026-08-27,decomposed,v1.0.0,completed provenance and publication record
YR-038,SELF,YarReader,b46868c,2026-08-29,direct,v1.0.1,align pull request automation with controlled change IDs
YR-039,SELF,YarReader,fea2507,2026-08-29,direct,v1.0.2,align the public README package metadata and canonical repository location
YR-040,SELF,YarReader,986ffd2,2026-08-29,direct,v1.0.3,adopt the WG-ARCH-001 repository baseline for toolchain commands and controlled change types
YR-041,SELF,YarReader,7735f73,2026-09-19,direct,v1.1.0,define repository normalization implementation plan and agent delivery rules
YR-042,SELF,YarReader,949ba36,2026-09-19,direct,v1.1.0,normalize GitHub settings contract and active-plan task lifecycle
YR-043,SELF,YarReader,75e311b,2026-09-19,direct,v1.1.0,formalize continuous plan execution and do-needful handoff
YR-044,SELF,YarReader,151c199,2026-09-19,direct,v1.1.0,apply GitHub repository settings and rulesets
YR-045,SELF,YarReader,a5126fc,2026-09-19,direct,v1.1.0,capture portable-reader acceptance baseline on a Vitest DOM boundary
YR-046,SELF,YarReader,27128dc,2026-09-19,direct,v1.1.0,adopt Vite browser pipeline and local development command
